Object: person, Confidence: 98.00%, Distance: 0.46m
Object: person, Confidence: 98.10%, Distance: 0.47m
Object: person, Confidence: 98.29%, Distance: 0.52m
Object: person, Confidence: 95.80%, Distance: 0.49m
Object: person, Confidence: 98.83%, Distance: 0.47m
Object: person, Confidence: 98.54%, Distance: 0.49m
Object: person, Confidence: 87.21%, Distance: 0.54m
Object: person, Confidence: 90.04%, Distance: 0.52m
Object: person, Confidence: 94.97%, Distance: 0.62m
Object: person, Confidence: 94.82%, Distance: 0.48m
Object: person, Confidence: 96.88%, Distance: 0.48m
Object: person, Confidence: 95.41%, Distance: 0.48m
Object: person, Confidence: 90.92%, Distance: 0.50m
Object: person, Confidence: 96.88%, Distance: 0.49m
Object: person, Confidence: 97.71%, Distance: 0.47m
Object: person, Confidence: 98.73%, Distance: 0.48m
Object: person, Confidence: 97.61%, Distance: 0.52m
Object: person, Confidence: 98.29%, Distance: 0.54m
Object: person, Confidence: 99.02%, Distance: 0.53m
Object: person, Confidence: 98.39%, Distance: 0.66m
Object: person, Confidence: 97.90%, Distance: 0.59m
Object: person, Confidence: 96.14%, Distance: 0.59m
Object: person, Confidence: 96.97%, Distance: 0.62m
Object: person, Confidence: 90.14%, Distance: 0.49m
Object: person, Confidence: 78.27%, Distance: 0.48m
Object: person, Confidence: 96.14%, Distance: 0.46m
Object: person, Confidence: 87.01%, Distance: 0.50m
Object: person, Confidence: 96.53%, Distance: 0.50m
Object: person, Confidence: 96.14%, Distance: 0.49m
Object: person, Confidence: 96.34%, Distance: 0.49m
Object: person, Confidence: 96.14%, Distance: 0.49m
Object: person, Confidence: 96.68%, Distance: 0.48m
Object: person, Confidence: 97.27%, Distance: 0.49m
Object: person, Confidence: 98.29%, Distance: 0.49m
Object: person, Confidence: 98.44%, Distance: 0.50m
Object: person, Confidence: 98.83%, Distance: 0.50m
Object: person, Confidence: 98.73%, Distance: 0.54m
Object: person, Confidence: 98.93%, Distance: 0.49m
Object: tvmonitor, Confidence: 52.25%, Distance: 1.69m
Object: person, Confidence: 98.39%, Distance: 0.50m
Object: tvmonitor, Confidence: 58.69%, Distance: 1.93m
